city,make,model,variant,mileage,make_year,price,fuel_type,no_of_owners,color,body_type,transmission,registration_year,car_age,make_model
delhi-ncr,nissan,magnite,xv premium turbo,39591,2022,744000,petrol,1,brown,suv,manual,2022,4,nissan_magnite
delhi-ncr,tata,tigor,revotron xz+,41659,2019,464000,petrol,1,blue,sedan,manual,2019,7,tata_tigor
delhi-ncr,maruti suzuki,baleno,zeta 1.2 at,46252,2016,492000,petrol,1,silver,hatchback,automatic,2016,10,maruti suzuki_baleno
delhi-ncr,maruti suzuki,swift,vxi amt,52223,2022,549000,petrol,2,grey,hatchback,automatic,2023,4,maruti suzuki_swift
delhi-ncr,hyundai,elite i20,sportz plus 1.2 cvt,33688,2019,518000,petrol,3,grey,hatchback,automatic,2019,7,hyundai_elite i20
delhi-ncr,mercedes-benz,gla,200,53446,2022,3484358,petrol,1,blue,suv,automatic,2022,4,mercedes-benz_gla
delhi-ncr,maruti suzuki,ciaz,alpha 1.5 at,50870,2021,781000,petrol,2,blue,sedan,automatic,2021,5,maruti suzuki_ciaz
delhi-ncr,maruti suzuki,ciaz,alpha 1.4 mt,67047,2017,592000,petrol,1,white,sedan,manual,2017,9,maruti suzuki_ciaz
delhi-ncr,renault,kwid,1.0 rxt amt opt,32764,2017,325000,petrol,1,grey,hatchback,automatic,2017,9,renault_kwid
delhi-ncr,audi,q3,technology,21088,2023,4039858,petrol,1,white,suv,automatic,2023,3,audi_q3
delhi-ncr,maruti suzuki,wagon r,lxi cng (o),32261,2019,428000,cng,1,grey,hatchback,manual,2019,7,maruti suzuki_wagon r
delhi-ncr,maruti suzuki,swift,vxi,17064,2023,639000,petrol,1,silver,hatchback,manual,2023,3,maruti suzuki_swift
delhi-ncr,hyundai,i20,asta 1.2 ivt,46763,2021,721000,petrol,1,blue,hatchback,automatic,2021,5,hyundai_i20
delhi-ncr,skoda,rapid,onyx,69734,2021,675000,petrol,1,blue,sedan,manual,2021,5,skoda_rapid
delhi-ncr,ford,ecosport,titanium + 1.5l ti-vct at,34269,2018,661000,petrol,2,red,suv,automatic,2018,8,ford_ecosport
delhi-ncr,hyundai,grand i10 nios,sportz 1.2 kappa vtvt,31203,2021,505000,petrol,2,white,hatchback,manual,2021,5,hyundai_grand i10 nios
delhi-ncr,maruti suzuki,ciaz,zxi,101591,2014,388000,petrol,1,white,sedan,manual,2014,12,maruti suzuki_ciaz
delhi-ncr,volkswagen,polo,highline plus 1.0 (p) 16 alloy,41048,2018,577000,petrol,1,red,hatchback,manual,2018,8,volkswagen_polo
delhi-ncr,volkswagen,polo,comfortline 1.2l (p),78462,2015,378000,petrol,1,white,hatchback,manual,2015,11,volkswagen_polo
delhi-ncr,maruti suzuki,celerio,zxi (o) amt,48501,2017,370000,petrol,2,grey,hatchback,automatic,2017,9,maruti suzuki_celerio
delhi-ncr,maruti suzuki,wagon r,vxi,50164,2014,273000,petrol,1,grey,hatchback,manual,2014,12,maruti suzuki_wagon r
delhi-ncr,jeep,compass,model s (o) 2.0 diesel,56613,2021,1615858,diesel,1,white,suv,manual,2022,5,jeep_compass
delhi-ncr,maruti suzuki,celerio,zxi amt,77364,2017,379000,petrol,1,grey,hatchback,automatic,2017,9,maruti suzuki_celerio
delhi-ncr,hyundai,creta,1.6 sx plus auto petrol,64535,2016,725000,petrol,1,white,suv,automatic,2016,10,hyundai_creta
delhi-ncr,tata,nexon,xma amt petrol,104710,2018,516000,petrol,1,white,suv,automatic,2018,8,tata_nexon
delhi-ncr,maruti suzuki,baleno,sigma mt,46070,2022,552000,petrol,1,blue,hatchback,manual,2022,4,maruti suzuki_baleno
delhi-ncr,hyundai,grand i10,sportz (o) 1.2 kappa vtvt,44911,2018,419000,petrol,2,red,hatchback,manual,2018,8,hyundai_grand i10
delhi-ncr,mahindra,scorpio n,z8 l petrol at 7 str,10923,2023,2042123,petrol,1,golden,suv,automatic,2023,3,mahindra_scorpio n
delhi-ncr,tata,tigor,revotron xm petrol+cng (outside fitted),80812,2019,393000,cng,1,blue,sedan,manual,2019,7,tata_tigor
delhi-ncr,tata,harrier,xza plus,57960,2021,1394713,diesel,1,white,suv,automatic,2021,5,tata_harrier
delhi-ncr,hyundai,creta,1.6l sx vtvt,40789,2019,825000,petrol,2,white,suv,manual,2019,7,hyundai_creta
delhi-ncr,tata,tiago,revotron xza plus dual tone,93329,2019,465000,petrol,1,grey,hatchback,automatic,2020,7,tata_tiago
delhi-ncr,maruti suzuki,ignis,sigma 1.2 mt,37555,2023,482000,petrol,1,grey,hatchback,manual,2023,3,maruti suzuki_ignis
delhi-ncr,kia,carens,luxury plus 1.4 petrol dct 7 str,68374,2022,1365378,petrol,1,blue,muv,automatic,2022,4,kia_carens
delhi-ncr,hyundai,grand i10,sportz 1.2 kappa vtvt,75973,2015,309000,petrol,2,white,hatchback,manual,2015,11,hyundai_grand i10
delhi-ncr,maruti suzuki,xl6,alpha at petrol,24138,2023,1267453,petrol,1,silver,muv,automatic,2023,3,maruti suzuki_xl6
delhi-ncr,honda,amaze,1.2 v cvt petrol,113609,2018,522000,petrol,1,silver,sedan,automatic,2018,8,honda_amaze
delhi-ncr,mercedes-benz,glc,300 progressive,68560,2018,2928858,petrol,2,blue,wagon,automatic,2018,8,mercedes-benz_glc
delhi-ncr,honda,city,1.5 v mt,79321,2012,319000,petrol,1,red,sedan,manual,2012,14,honda_city
delhi-ncr,maruti suzuki,ignis,alpha 1.2 mt,27080,2021,592000,petrol,1,blue,hatchback,manual,2021,5,maruti suzuki_ignis
delhi-ncr,jeep,compass,model s (o) diesel 4x4 at,52944,2021,1706758,diesel,1,grey,suv,automatic,2021,5,jeep_compass
delhi-ncr,renault,kiger,rxz turbo cvt,20391,2021,798000,petrol,1,silver,suv,automatic,2022,5,renault_kiger
delhi-ncr,tata,nexon,xm plus (s),49076,2022,736000,petrol,1,grey,suv,manual,2022,4,tata_nexon
delhi-ncr,kia,seltos,gtx plus at d,100645,2021,1243213,diesel,1,grey,suv,automatic,2021,5,kia_seltos
delhi-ncr,skoda,rapid,ambition,35212,2020,695000,petrol,1,brown,sedan,manual,2020,6,skoda_rapid
delhi-ncr,toyota,corolla altis,vl cvt petrol,120431,2018,902000,petrol,1,silver,sedan,automatic,2018,8,toyota_corolla altis
delhi-ncr,maruti suzuki,wagon r 1.0,vxi petrol + cng (outside fitted),54216,2016,324000,cng,1,grey,hatchback,manual,2016,10,maruti suzuki_wagon r 1.0
delhi-ncr,maruti suzuki,grand vitara,alpha plus intelligent hybrid ecvt,73549,2022,1492683,hybrid,1,blue,suv,automatic,2022,4,maruti suzuki_grand vitara
delhi-ncr,hyundai,creta,s 1.5 petrol imt,51411,2022,1047228,petrol,1,white,suv,manual,2022,4,hyundai_creta
delhi-ncr,kia,seltos,htk plus imt,18132,2022,1152313,petrol,1,red,suv,manual,2022,4,kia_seltos
delhi-ncr,kia,seltos,gtx plus 1.4,30425,2022,1439153,petrol,1,white,suv,manual,2022,4,kia_seltos
delhi-ncr,hyundai,venue,sx (o) 1.5 crdi executive,27968,2022,961000,diesel,1,white,suv,manual,2022,4,hyundai_venue
delhi-ncr,kia,sonet,gtx plus 1.0 dct,58007,2021,1049293,petrol,1,red,suv,automatic,2021,5,kia_sonet
delhi-ncr,kia,seltos,htk plus at d,45374,2020,978000,diesel,2,white,suv,automatic,2020,6,kia_seltos
delhi-ncr,renault,kwid,rxl,65291,2019,245000,petrol,2,grey,hatchback,manual,2019,7,renault_kwid
delhi-ncr,honda,city,zx cvt petrol,56001,2018,773000,petrol,2,grey,sedan,automatic,2018,8,honda_city
delhi-ncr,honda,city,vx cvt,109217,2016,578000,petrol,1,red,sedan,automatic,2016,10,honda_city
delhi-ncr,kia,sonet,htx 1.0 imt,21388,2021,881000,petrol,1,red,suv,manual,2021,5,kia_sonet
delhi-ncr,audi,a4,premium plus 40 tfsi,2472,2024,4039858,petrol,1,black,sedan,automatic,2024,2,audi_a4
delhi-ncr,hyundai,creta,1.6 sx plus auto petrol,82960,2016,706000,petrol,1,silver,suv,automatic,2016,10,hyundai_creta
delhi-ncr,jeep,compass,model s (o) diesel 4x4 at,46666,2021,1681508,diesel,1,black,suv,automatic,2021,5,jeep_compass
delhi-ncr,mahindra,xuv 3xo,ax5 1.5 diesel autoshift plus,23109,2024,1253268,diesel,1,black,suv,automatic,2024,2,mahindra_xuv 3xo
delhi-ncr,maruti suzuki,wagon r,lxi 1.0 cng,79754,2021,452000,cng,1,white,hatchback,manual,2021,5,maruti suzuki_wagon r
delhi-ncr,hyundai,elite i20,sportz 1.2,53890,2014,418000,petrol,1,red,hatchback,manual,2014,12,hyundai_elite i20
delhi-ncr,honda,city,zx cvt petrol,53201,2017,786000,petrol,1,silver,sedan,automatic,2017,9,honda_city
delhi-ncr,tata,tigor,xz plus cng,65015,2022,641000,cng,1,white,sedan,manual,2023,4,tata_tigor
delhi-ncr,mahindra,kuv100 nxt,k6+ 6 str,39472,2018,401000,petrol,1,red,crossover,manual,2018,8,mahindra_kuv100 nxt
delhi-ncr,hyundai,creta,1.6 sx plus petrol,87058,2016,670000,petrol,1,silver,suv,manual,2016,10,hyundai_creta
delhi-ncr,hyundai,grand i10,sportz 1.2 kappa vtvt,47225,2014,335000,petrol,1,red,hatchback,manual,2014,12,hyundai_grand i10
delhi-ncr,mercedes-benz,c-class,c 200 avantgarde,41783,2016,1817858,petrol,2,white,sedan,automatic,2016,10,mercedes-benz_c-class
delhi-ncr,maruti suzuki,wagon r,lxi,74379,2015,269000,petrol,1,silver,hatchback,manual,2015,11,maruti suzuki_wagon r
delhi-ncr,volkswagen,virtus,topline 1.0 tsi mt,37939,2024,1301793,petrol,1,red,sedan,manual,2024,2,volkswagen_virtus
delhi-ncr,maruti suzuki,ciaz,alpha 1.4 mt,20281,2017,624000,petrol,1,grey,sedan,manual,2017,9,maruti suzuki_ciaz
delhi-ncr,kia,seltos,htx plus at d,123881,2020,1097773,diesel,1,silver,suv,automatic,2020,6,kia_seltos
delhi-ncr,ford,ecosport,titanium 1.5l ti-vct,68754,2019,634000,petrol,1,white,suv,manual,2019,7,ford_ecosport
delhi-ncr,tata,altroz,xz petrol,65182,2020,540000,petrol,1,silver,hatchback,manual,2020,6,tata_altroz
delhi-ncr,honda,city,zx petrol,51896,2020,977000,petrol,1,silver,sedan,manual,2020,6,honda_city
delhi-ncr,hyundai,grand i10,magna 1.2 kappa vtvt,48793,2013,232000,petrol,3,beige,hatchback,manual,2013,13,hyundai_grand i10
delhi-ncr,skoda,kushaq,active 1.0 tsi mt,20279,2022,941000,petrol,1,orange,suv,manual,2022,4,skoda_kushaq
delhi-ncr,honda,city,sv cvt,84122,2014,485000,petrol,1,silver,sedan,automatic,2014,12,honda_city
delhi-ncr,maruti suzuki,xl6,zeta mt petrol,29154,2022,966000,petrol,1,blue,muv,manual,2022,4,maruti suzuki_xl6
delhi-ncr,hyundai,grand i10,sportz (o) 1.2 kappa vtvt,100868,2017,379000,petrol,1,silver,hatchback,manual,2017,9,hyundai_grand i10
delhi-ncr,hyundai,grand i10,sportz 1.2 kappa vtvt,69493,2018,424000,petrol,1,blue,hatchback,manual,2018,8,hyundai_grand i10
delhi-ncr,jeep,compass,sport 1.4 petrol,25533,2021,1262358,petrol,1,white,suv,manual,2021,5,jeep_compass
delhi-ncr,tata,nexon,xz plus (o),29431,2020,746000,petrol,2,blue,suv,manual,2020,6,tata_nexon
delhi-ncr,mahindra,xuv 300,w8 (o) petrol,20159,2022,979000,petrol,1,blue,suv,manual,2022,4,mahindra_xuv 300
delhi-ncr,maruti suzuki,celerio,zxi,84740,2014,278000,petrol,1,red,hatchback,manual,2014,12,maruti suzuki_celerio
delhi-ncr,renault,triber,rxl,29576,2021,493000,petrol,1,silver,muv,manual,2021,5,renault_triber
delhi-ncr,tata,altroz,xza plus petrol dark edtion,22502,2022,767000,petrol,1,black,hatchback,automatic,2022,4,tata_altroz
delhi-ncr,hyundai,creta,sx+ se,30723,2017,771000,petrol,1,white,suv,manual,2017,9,hyundai_creta
delhi-ncr,maruti suzuki,wagon r,vxi 1.0 ags,9799,2023,582000,petrol,1,silver,hatchback,automatic,2023,3,maruti suzuki_wagon r
delhi-ncr,hyundai,creta,1.6 sx plus petrol,75160,2015,617000,petrol,2,grey,suv,manual,2015,11,hyundai_creta
delhi-ncr,renault,kiger,rxz turbo cvt,35183,2023,872000,petrol,1,black,suv,automatic,2023,3,renault_kiger
delhi-ncr,maruti suzuki,swift,zxi,94065,2014,342000,petrol,1,grey,hatchback,manual,2014,12,maruti suzuki_swift
delhi-ncr,tata,nexon,xma (s) diesel,36951,2022,819000,diesel,1,grey,suv,automatic,2022,4,tata_nexon
delhi-ncr,maruti suzuki,swift,zxi amt,57854,2019,550000,petrol,1,grey,hatchback,automatic,2019,7,maruti suzuki_swift
delhi-ncr,maruti suzuki,baleno,delta,24105,2020,566000,petrol,1,grey,hatchback,manual,2020,6,maruti suzuki_baleno
delhi-ncr,volkswagen,vento,1.2l comfortline petrol at,68311,2016,516000,petrol,1,beige,sedan,automatic,2016,10,volkswagen_vento
delhi-ncr,maruti suzuki,swift,lxi (o),42376,2015,354000,petrol,1,grey,hatchback,manual,2015,11,maruti suzuki_swift
delhi-ncr,maruti suzuki,xl6,zeta mt petrol,17067,2022,976000,petrol,1,blue,muv,manual,2022,4,maruti suzuki_xl6
delhi-ncr,tata,altroz,xt petrol,88465,2021,544000,petrol,1,grey,hatchback,manual,2021,5,tata_altroz
delhi-ncr,maruti suzuki,ciaz,alpha hybrid 1.5 at,44227,2019,768000,petrol,1,grey,sedan,automatic,2019,7,maruti suzuki_ciaz
delhi-ncr,maruti suzuki,dzire,vxi,37016,2017,491000,petrol,1,brown,sedan,manual,2017,9,maruti suzuki_dzire
delhi-ncr,tata,nexon,xza plus (hs),27821,2022,847000,petrol,2,white,suv,automatic,2022,4,tata_nexon
delhi-ncr,hyundai,grand i10,sportz 1.2 kappa vtvt,94999,2015,299000,petrol,2,grey,hatchback,manual,2015,11,hyundai_grand i10
delhi-ncr,hyundai,xcent,e+ cng (outside fitted),46769,2018,411000,cng,1,grey,sedan,manual,2018,8,hyundai_xcent
delhi-ncr,honda,city,sv,100935,2015,437000,petrol,1,white,sedan,manual,2015,11,honda_city
delhi-ncr,bmw,3 series,gran limousine 330li luxury line,26502,2021,3736858,petrol,2,white,sedan,automatic,2022,5,bmw_3 series
delhi-ncr,mercedes-benz,e-class,e200 cgi,62827,2015,1666358,petrol,2,black,sedan,automatic,2016,11,mercedes-benz_e-class
delhi-ncr,honda,amaze,1.2 v cvt petrol,52435,2019,619000,petrol,1,white,sedan,automatic,2019,7,honda_amaze
delhi-ncr,ford,ecosport,titanium 1.5l ti-vct,73395,2019,631000,petrol,1,silver,suv,manual,2019,7,ford_ecosport
delhi-ncr,tata,nexon,xz plus (o),65854,2021,791000,petrol,1,green,suv,manual,2021,5,tata_nexon
delhi-ncr,maruti suzuki,s-cross,zeta,20096,2022,879000,petrol,1,silver,suv,manual,2022,4,maruti suzuki_s-cross
delhi-ncr,tata,tiago,revotron xza,46495,2018,374000,petrol,3,bronze,hatchback,automatic,2018,8,tata_tiago
delhi-ncr,honda,amaze,1.2 vx i-vtec,83765,2015,343000,petrol,2,silver,sedan,manual,2015,11,honda_amaze
delhi-ncr,hyundai,creta,sx+ se,47996,2017,716000,petrol,2,white,suv,manual,2017,9,hyundai_creta
delhi-ncr,mahindra,xuv 300,w8 amt (o) diesel,64871,2020,829000,diesel,1,white,suv,automatic,2020,6,mahindra_xuv 300
delhi-ncr,ford,ecosport,titanium 1.5l ti-vct at,106391,2016,512000,petrol,1,grey,suv,automatic,2016,10,ford_ecosport
delhi-ncr,maruti suzuki,ciaz,zeta 1.5 at,29754,2022,926000,petrol,1,grey,sedan,automatic,2022,4,maruti suzuki_ciaz
delhi-ncr,toyota,glanza,g amt,17615,2024,840000,petrol,1,white,hatchback,automatic,2024,2,toyota_glanza
delhi-ncr,honda,city,v,76671,2015,441000,petrol,2,brown,sedan,manual,2015,11,honda_city
delhi-ncr,ford,figo,trend 1.2 ti-vct,75793,2016,321000,petrol,1,white,hatchback,manual,2016,10,ford_figo
delhi-ncr,maruti suzuki,swift,vxi,65626,2017,419000,petrol,1,silver,hatchback,manual,2017,9,maruti suzuki_swift
delhi-ncr,volkswagen,taigun,highline 1.0 tsi at,33738,2022,1166424,petrol,1,white,suv,automatic,2022,4,volkswagen_taigun
delhi-ncr,honda,city,vx cvt,65217,2015,572000,petrol,1,silver,sedan,automatic,2015,11,honda_city
delhi-ncr,tata,altroz,xe 1.5,46309,2021,595000,diesel,1,white,hatchback,manual,2021,5,tata_altroz
delhi-ncr,maruti suzuki,wagon r,vxi,33376,2015,303000,petrol,1,grey,hatchback,manual,2015,11,maruti suzuki_wagon r
delhi-ncr,toyota,fortuner,2.7 2wd at petrol,81108,2018,2211758,petrol,1,silver,suv,automatic,2018,8,toyota_fortuner
delhi-ncr,toyota,fortuner,2.7 2wd mt petrol,41409,2016,1908758,petrol,2,white,suv,manual,2016,10,toyota_fortuner
delhi-ncr,hyundai,i10,magna 1.1 irde2,44475,2014,244000,petrol,2,grey,hatchback,manual,2014,12,hyundai_i10
delhi-ncr,hyundai,creta,1.6 sx plus auto petrol,98020,2017,780000,petrol,1,grey,suv,automatic,2017,9,hyundai_creta
delhi-ncr,volkswagen,polo,comfortline 1.0l (p),68859,2019,459000,petrol,2,grey,hatchback,manual,2019,7,volkswagen_polo
delhi-ncr,hyundai,grand i10,sportz 1.2 kappa vtvt,63993,2017,381000,petrol,2,silver,hatchback,manual,2017,9,hyundai_grand i10
delhi-ncr,honda,amaze,vx cvt 1.2 petrol,17246,2023,843000,petrol,1,grey,sedan,automatic,2023,3,honda_amaze
delhi-ncr,honda,amaze,1.2 s i-vtec,59566,2015,320000,petrol,1,grey,sedan,manual,2015,11,honda_amaze
delhi-ncr,hyundai,i20,asta (o) 1.2 ivt,19991,2023,924000,petrol,1,grey,hatchback,automatic,2023,3,hyundai_i20
delhi-ncr,kia,sonet,htx 1.0 imt,38441,2021,785000,petrol,2,white,suv,manual,2021,5,kia_sonet
delhi-ncr,hyundai,venue,sx plus 1.0 turbo dct,41735,2020,865000,petrol,1,white,suv,automatic,2020,6,hyundai_venue
delhi-ncr,maruti suzuki,ciaz,zeta 1.5,26507,2022,822000,petrol,1,blue,sedan,manual,2022,4,maruti suzuki_ciaz
delhi-ncr,hyundai,grand i10,asta 1.2 kappa vtvt,63968,2017,434000,petrol,1,white,hatchback,manual,2017,9,hyundai_grand i10
delhi-ncr,kia,sonet,gtx plus 1.0 dct,40732,2020,957000,petrol,1,red,suv,automatic,2020,6,kia_sonet
delhi-ncr,kia,sonet,htx plus 1.0 imt,14459,2021,994000,petrol,1,black,suv,manual,2021,5,kia_sonet
delhi-ncr,hyundai,elite i20,magna plus 1.2,24719,2019,555000,petrol,1,white,hatchback,manual,2019,7,hyundai_elite i20
delhi-ncr,maruti suzuki,ciaz,delta 1.4 mt,80190,2018,552000,petrol,1,silver,sedan,manual,2018,8,maruti suzuki_ciaz
delhi-ncr,maruti suzuki,ciaz,zxi,55865,2015,445000,petrol,2,white,sedan,manual,2015,11,maruti suzuki_ciaz
delhi-ncr,tata,tiago,xt,21606,2023,549000,petrol,1,grey,hatchback,manual,2023,3,tata_tiago
delhi-ncr,maruti suzuki,wagon r,lxi,69063,2013,208000,petrol,2,red,hatchback,manual,2013,13,maruti suzuki_wagon r
delhi-ncr,hyundai,xcent,s 1.2 (o),64493,2014,339000,petrol,1,white,sedan,manual,2014,12,hyundai_xcent
delhi-ncr,honda,city,zx cvt petrol,38603,2019,883000,petrol,1,white,sedan,automatic,2019,7,honda_city
delhi-ncr,renault,kiger,rxz amt,28133,2022,624000,petrol,2,brown,suv,automatic,2022,4,renault_kiger
delhi-ncr,honda,city,zx petrol,60236,2020,965000,petrol,1,white,sedan,manual,2020,6,honda_city
delhi-ncr,maruti suzuki,s-cross,zeta,60557,2021,733000,petrol,1,blue,suv,manual,2021,5,maruti suzuki_s-cross
delhi-ncr,volkswagen,cross polo,1.2 mpi highline,53344,2016,429394,petrol,2,silver,crossover,manual,2016,10,volkswagen_cross polo
delhi-ncr,hyundai,venue,sx (o) 1.0 turbo imt,45075,2022,972000,petrol,1,white,suv,manual,2022,4,hyundai_venue
delhi-ncr,kia,sonet,gtx plus 1.0 dct,48269,2020,990000,petrol,1,red,suv,automatic,2020,6,kia_sonet
delhi-ncr,tata,tigor,xz plus cng,15016,2022,733000,cng,1,white,sedan,manual,2022,4,tata_tigor
delhi-ncr,hyundai,new santro 1.1,sportz mt,73230,2019,398000,petrol,1,grey,hatchback,manual,2019,7,hyundai_new santro 1.1
delhi-ncr,renault,kwid,climber 1.0 amt,54659,2018,309000,petrol,2,blue,hatchback,automatic,2018,8,renault_kwid
delhi-ncr,ford,ecosport,titanium plus 1.5l ti-vct at,33195,2021,911000,petrol,1,orange,suv,automatic,2021,5,ford_ecosport
delhi-ncr,maruti suzuki,xl6,zeta mt petrol,23498,2022,979000,petrol,1,white,muv,manual,2022,4,maruti suzuki_xl6
delhi-ncr,honda,jazz,v petrol,115016,2017,403000,petrol,1,red,hatchback,manual,2018,9,honda_jazz
delhi-ncr,hyundai,grand i10,sportz 1.2 kappa vtvt,64407,2015,328000,petrol,1,grey,hatchback,manual,2015,11,hyundai_grand i10
delhi-ncr,honda,elevate,zx mt,8704,2024,1453293,petrol,1,white,suv,manual,2024,2,honda_elevate
delhi-ncr,honda,jazz,vx petrol,63347,2017,460000,petrol,1,black,hatchback,manual,2017,9,honda_jazz
delhi-ncr,honda,wr-v,vx mt petrol,46721,2017,540000,petrol,2,grey,suv,manual,2017,9,honda_wr-v
delhi-ncr,hyundai,grand i10,sportz 1.2 kappa vtvt,50612,2017,426000,petrol,1,grey,hatchback,manual,2017,9,hyundai_grand i10
delhi-ncr,kia,seltos,htx 1.5,38101,2021,1056363,petrol,2,black,suv,manual,2021,5,kia_seltos
delhi-ncr,honda,city,vx cvt,64004,2015,594000,petrol,1,green,sedan,automatic,2015,11,honda_city
delhi-ncr,hyundai,venue,sx 1.5 crdi,63767,2021,783000,diesel,1,blue,suv,manual,2021,5,hyundai_venue
delhi-ncr,hyundai,grand i10,sportz 1.2 kappa vtvt,63582,2013,300000,petrol,1,maroon,hatchback,manual,2013,13,hyundai_grand i10
delhi-ncr,hyundai,creta,1.6 sx plus auto petrol,80987,2017,758000,petrol,1,white,suv,automatic,2017,9,hyundai_creta
delhi-ncr,honda,amaze,1.2 vx i-vtec,63935,2015,374000,petrol,1,red,sedan,manual,2015,11,honda_amaze
delhi-ncr,maruti suzuki,ignis,zeta 1.2 amt,52723,2020,509000,petrol,1,grey,hatchback,automatic,2020,6,maruti suzuki_ignis
delhi-ncr,kia,seltos,htx g,27802,2022,1241193,petrol,1,black,suv,manual,2022,4,kia_seltos
delhi-ncr,honda,city,vx cvt,56851,2015,583000,petrol,1,red,sedan,automatic,2015,11,honda_city
delhi-ncr,honda,city,vx,40375,2016,579000,petrol,1,brown,sedan,manual,2016,10,honda_city
delhi-ncr,maruti suzuki,dzire,zxi,39201,2022,651000,petrol,1,grey,sedan,manual,2022,4,maruti suzuki_dzire
delhi-ncr,hyundai,venue,sx plus 1.0 turbo dct,38698,2020,879000,petrol,1,blue,suv,automatic,2020,6,hyundai_venue
